Model_Year,Count
2022 XC60,1
2022 Multivan,12
2022 Prius,1
2022 Model,1
2022 Superb,2
2022 Octavia,3
2022 Megane,1
2022 Master,3
2022 Koleos,1
2022 Kadjar,2
2022 Arkana,1
2022 3008,1
2022 Triton,23
2022 Pajero,5
2022 Outlander,77
2022 Mirage,3
2022 Express,2
2022 Eclipse,73
2022 ASX,7
2022 HS,13
2022 Rover,1
2022 Sorento,5
2022 Niro,9
2022 MU-X,5
2022 D-Max,7
2022 Venue,2
2022 Tucson,2
2022 Santa,7
2022 Palisade,1
2022 Kona,9
2022 IONIQ,3
2022 Ioniq,1
2022 i30,4
2022 i20,2
2022 Transit,2
2022 Puma,7
2022 Escape,2
2022 C5,1
2022 Extended,3
2022 60KW,1
2022 X5,1
2022 Romeo,1
2021 T-Roc,1
2021 Yaris,2
2021 Prius,2
2021 Land,1
2021 Superb,1
2021 Koleos,1
2021 508,1
2021 Outlander,4
2021 Eclipse,8
2021 HS,4
2021 E,1
2021 Sorento,4
2021 D-Max,1
2021 Venue,3
2021 Tucson,2
2021 Staria,1
2021 Transit,1
2021 X5,1
2021 530e,1
2020 Supra,1
2020 RAV4,1
2020 Prius,1
2020 Hilux,1
2020 Cayenne,1
2020 Leaf,4
2020 Juke,1
2020 Outlander,5
2020 Cross,4
2020 G70,1
2020 530e,1
2019 V60,1
2019 RAV4,4
2019 Hilux,1
2019 Fortuner,2
2019 Corolla,5
2019 Koleos,1
2019 Panamera,1
2019 Cayenne,1
2019 NV350,1
2019 Leaf,2
2019 Outlander,13
2019 ASX,2
2019 CX-30,1
2019 3,1
2019 Rover,1
2019 Seltos,1
2019 Niro,1
2019 Tucson,2
2019 Santa,3
2019 Accent,2
2019 Ranger,1
2019 Endura,1
2019 X2,1
2019 745e,1
2019 740e,1
2018 Golf,1
2018 Yaris,2
2018 Prius,4
2018 Land,1
2018 Hilux,2
2018 Highlander,2
2018 Hiace,1
2018 Fortuner,1
2018 Corolla,2
2018 C-HR,1
2018 Aqua,4
2018 NV350,2
2018 Leaf,4
2018 Outlander,12
2018 SE,1
2018 Countryman,2
2018 Cooper,1
2018 E,1
2018 Rover,1
2018 Tucson,3
2018 Santa,2
2018 Jazz,2
2018 740e,1
2018 Q2,1
2017 Yaris,1
2017 Vitz,4
2017 RAV4,1
2017 Prius,9
2017 Hilux,1
2017 C-HR,6
2017 XV,2
2017 Forester,1
2017 Koleos,1
2017 NV350,1
2017 Note,1
2017 Outlander,52
2017 Mirage,4
2017 S,1
2017 Countryman,2
2017 Cooper,2
2017 E,1
2017 C,5
2017 CX-3,1
2017 Santa,3
2017 X5,1
2017 740e,2
2017 530e,4
2017 330e,5
2016 Polo,1
2016 Passat,3
2016 Golf,2
2016 Land,1
2016 Aqua,1
2016 X-Trail,1
2016 Outlander,51
2016 C,5
2016 Sportage,1
2016 Tucson,2
2016 740e,2
2016 330e,5
2016 225xe,2
2016 S3,1
2016 A3,2
2015 Jetta,1
2015 Golf,3
2015 Prius,2
2015 Outback,2
2015 Macan,1
2015 Triton,1
2015 Outlander,109
2015 S,1
2015 C,1
2015 RC,1
2015 NX,1
2015 Cherokee,1
2015 XF,1
2015 Santa,1
2015 Vezel,2
2015 GRACE,1
2015 Colorado,2
2015 X5,1
2015 i8,1
2015 435i,1
2015 Q3,2
2015 A3,1
2014 Passat,1
2014 Prius,4
2014 Harrier,2
2014 Outlander,103
2014 CX-9,1
2014 Vezel,2
2014 X3,1
2014 Mini,1
2014 A4,1
2013 Tiguan,1
2013 Prius,3
2013 Hilux,1
2013 XV,2
2013 Navara,1
2013 RVR,2
2013 Outlander,170
2013 CLA,1
2013 A,2
2013 Rover,4
2013 Sorento,2
2013 Commodore,2
2013 X5,1
2013 116i,1
2012 XC60,3
2012 Golf,2
2012 Prius,8
2012 Aqua,1
2012 Pajero,2
2012 Lancer,2
2012 ML,1
2012 C,2
2012 LS,4
2012 GS,1
2012 Rover,1
2012 XF,1
2012 Santa,1
2012 X5,2
2012 X3,2
2012 116i,1
2011 Tiguan,2
2011 Polo,1
2011 RX,1
2011 Sportage,2
2011 XF,2
2011 Fit,1
2011 523i,1
2009 X-Trail,1
2009 Getz,1
2009 320i,1
2007 Grand,1
2006 525i,2
2005 SLK,1
