Make,Model,Year,Mileage,ImportHistory,FuelEconomy
mitsubishi,outlander,2023,N/A,N/A,N/A
volvo,xc90,2022,400km,N/A,"1969cc, Hybrid, Automatic"
volvo,xc60,2022,"4,000km",N/A,Automatic
volvo,xc60,2022,"3,500km",N/A,"1998cc, Automatic"
volkswagen,multivan,2022,N/A,New Zealand New,N/A
volkswagen,multivan,2022,N/A,New Zealand New,N/A
volkswagen,multivan,2022,"3,500km",New Zealand New,"1395cc, Automatic"
volkswagen,multivan,2022,39km,N/A,"1400cc, Automatic"
volkswagen,multivan,2022,50km,New Zealand New,"1395cc, Plug-in hybrid, Automatic"
volkswagen,multivan,2022,N/A,New Zealand New,N/A
volkswagen,multivan,2022,N/A,New Zealand New,N/A
volkswagen,multivan,2022,50km,New Zealand New,"1395cc, Plug-in hybrid, Automatic"
volkswagen,multivan,2022,50km,New Zealand New,"1395cc, Hybrid, Tiptronic"
volkswagen,multivan,2022,"3,500km",New Zealand New,"1395cc, Plug-In Hybrid, Automatic"
volkswagen,multivan,2022,100km,New Zealand New,"1395cc, Plug-in hybrid, Automatic"
volkswagen,multivan,2022,100km,New Zealand New,"1395cc, Plug-in hybrid, Automatic"
volkswagen,multivan,2022,N/A,New Zealand New,N/A
volkswagen,multivan,2022,N/A,New Zealand New,N/A
tesla,model-y,2022,N/A,New Zealand New,N/A
skoda,superb,2022,500km,N/A,"Petrol, Automatic"
skoda,superb,2022,"1,000km",N/A,"Plug-In Hybrid, Automatic"
skoda,octavia,2022,"3,000km",New Zealand New,"1395cc, Plug-In Hybrid, Automatic"
renault,master,2022,100km,N/A,"2299cc, Diesel, Automatic"
renault,master,2022,100km,N/A,"2299cc, Diesel, Automatic"
renault,koleos,2022,50km,New Zealand New,"2488cc, Petrol, Automatic"
renault,kadjar,2022,50km,N/A,"1332cc, Petrol, Automatic"
renault,arkana,2022,100km,N/A,"1333cc, Petrol, Automatic"
peugeot,3008,2022,11km,N/A,"1598cc, Plug-In Hybrid, Automatic"
peugeot,3008,2022,"1,500km",N/A,"1598cc, Plug-In Hybrid, Automatic"
peugeot,3008,2022,"5,500km",N/A,"1598cc, Plug-In Hybrid, Automatic"
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,N/A,N/A,N/A
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,20km,N/A,"2442cc, Diesel, Automatic"
mitsubishi,triton,2022,N/A,N/A,N/A
